0;Concurso;Data Sorteio;1ª Dezena;2ª Dezena;3ª Dezena;4ª Dezena;5ª Dezena;6ª Dezena;Arrecadacao_Total;Ganhadores_Sena;Cidade;UF;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
132;130;29/08/1998;13;42;38;49;53;29;000;0;;;000;155;11.79624;11403;16003;SIM;18.814.95831;000;000
133;131;05/09/1998;30;09;17;27;04;44;000;0;;;000;361;6.81167;21683;11319;SIM;21.765.77449;000;000
134;132;12/09/1998;44;35;50;41;09;07;000;0;;;000;143;20.84664;12179;24429;SIM;25.343.05789;000;000
135;133;19/09/1998;19;57;06;39;34;05;000;1;;;30.533.24112;431;10.03516;29264;14751;NÃO;000;000;000
136;134;26/09/1998;60;32;25;36;52;04;000;0;;;000;82;10.25338;4575;18342;SIM;1.008.93239;000;000
137;135;03/10/1998;35;40;21;59;53;22;000;0;;;000;40;24.57318;3604;27219;SIM;2.188.44472;000;000
138;136;10/10/1998;17;25;45;38;01;59;000;0;;;000;126;8.43536;7403;14329;SIM;3.463.87117;000;000
139;137;17/10/1998;26;15;16;22;19;49;000;0;;;000;88;12.67549;6701;16613;SIM;4.802.40293;000;000
140;138;24/10/1998;41;14;37;05;40;27;000;0;;;000;86;14.07436;6953;17374;SIM;6.254.87680;000;000
141;139;31/10/1998;26;27;13;42;41;03;000;2;;;3.902.48614;179;7.21646;9401;13714;NÃO;000;000;000
142;140;07/11/1998;55;31;46;44;41;07;000;0;;;000;45;36.58133;4945;33224;SIM;16.453.62831;000;000
143;141;14/11/1998;10;22;42;13;41;58;000;0;;;000;119;20.10610;10533;22670;SIM;19.324.77890;000;000
144;142;21/11/1998;20;59;19;54;15;08;000;0;;;000;162;18.14356;13991;20966;SIM;22.851.88724;000;000
145;143;28/11/1998;40;18;06;20;50;53;000;0;;;000;144;24.79299;10994;32410;SIM;27.136.11588;000;000
146;144;05/12/1998;08;32;44;36;45;55;000;1;;;33.597.75521;257;20.95214;23952;22438;NÃO;000;000;000
147;145;12/12/1998;43;15;41;51;16;31;000;0;;;000;71;15.06127;3389;31491;SIM;1.283.22059;000;000
148;146;19/12/1998;51;34;25;60;42;32;000;0;;;000;51;23.92345;4079;29852;SIM;2.747.33581;000;000
149;147;24/12/1998;24;06;38;23;28;16;000;1;;;3.805.75038;75;11.76017;5418;16248;NÃO;000;000;000
150;148;31/12/1998;32;55;59;41;58;35;000;0;;;000;15;53.66004;2322;34595;SIM;965.88061;000;000
151;149;09/01/1999;11;45;48;07;28;20;000;0;;;000;106;9.79513;6290;16474;SIM;2.211.82094;000;000
152;150;16/01/1999;50;44;12;55;52;54;000;0;;;000;56;36.37871;5540;36700;SIM;21.414.53014;000;000
153;151;23/01/1999;03;43;16;56;52;20;000;1;;;24.091.81102;152;14.67807;9869;22562;NÃO;000;000;000
154;152;30/01/1999;12;05;15;51;58;29;000;0;;;000;75;11.56239;5041;17203;SIM;1.040.61480;000;000
155;153;06/02/1999;47;02;31;42;45;30;000;0;;;000;47;22.84645;4218;25457;SIM;2.329.15462;000;000
